"","updown","sma.10","RSI","fastK","fastD","larry.williams","ad","cci","mom","macd","wma"
"221",-1,57858,38.9330133373903,0.512820512820513,0.600109778772392,0.487179487179487,8060,-131.368829679303,-940,-0.424557816287308,58174.1818181818
"222",1,58148,47.1754733449326,0.6875,0.668859778772392,0.3125,9060,-71.5952421603821,2900,-0.424381893845205,58200
"223",-1,58318,43.5472340754574,0.210526315789474,0.675626696065625,0.789473684210526,8560,-74.9093838099113,1700,-0.488039799857931,58082.1818181818
"224",-1,58178,40.7606735384036,0,0.606238940963584,1,8160,-89.9743570592812,-1400,-0.587569043355096,57860.7272727273
"225",1,58176,52.4293927106029,0.726315789473684,0.609482764808912,0.273684210526316,9840,-26.5495659196474,-20,-0.469211307549611,57915.6363636364
"226",-1,57966,41.8179545216383,0,0.52692957331955,1,8240,-61.0092571104436,-2100,-0.5912731931493,57680
"227",1,57768,42.7829901189127,0.0566037735849057,0.450036759188679,0.943396226415094,8360,-79.7614515924401,-1980,-0.664058969965853,57504.3636363636
"228",1,57648,49.0436343459285,0.438095238095238,0.410867559593948,0.561904761904762,9160,-30.0491955856949,-1200,-0.603203552240295,57510.1818181818
"229",-1,57528,48.8950216172167,0.5625,0.384564368104586,0.4375,8940,-4.83984134484731,-1200,-0.551408165691303,57534.1818181818
"230",-1,57514,46.6940210057262,0.3875,0.358186162976381,0.6125,8660,-48.9208633093538,-140,-0.543223637388457,57529.0909090909
"232",1,57508,47.1138902695174,0.4125,0.31815411169433,0.5875,8700,-29.1865337378994,-460,-0.50927444354123,57524
"233",1,57658,59.9177432874893,1,0.397101480115382,0,10160,78.709868323714,1500,-0.285095648118727,57795.2727272727
"234",-1,57838,58.8337411013148,0.952830188679245,0.492384498983307,0.0471698113207547,10060,93.2924753149447,1800,-0.120359881759413,58021.0909090909
"235",-1,57650,40.2326424998061,0,0.419752920035938,1,7680,-53.6721596478584,-1880,-0.306617841791201,57796
"236",1,57742,49.4902407328353,0.5,0.469752920035938,0.5,8880,-0.521648408974246,920,-0.283825207883304,57823.2727272727
"237",-1,57752,44.9750111401406,0.208333333333333,0.484925876010781,0.791666666666667,8180,-93.4378586953886,100,-0.35941273649519,57706.5454545455
"238",1,57872,56.8483042821988,1,0.541116352201257,0,10080,129.210042865887,1200,-0.152302547873695,57933.4545454545
"239",1,58044,59.4093155847274,1,0.584866352201257,0,10580,240.086909288426,1720,0.0799393268239745,58229.4545454545
"244",-1,58700,53.9835330236768,0.827586206896552,0.753591954022988,0.172413793103448,10080,47.6164423532844,100,0.559562247279621,59127.2727272727
"245",-1,58890,49.0101557091415,0.583333333333333,0.811925287356321,0.416666666666667,9580,44.6797191279411,1900,0.472683266276475,59090.9090909091
"246",1,59010,53.745005729431,0.791666666666667,0.841091954022988,0.208333333333333,11360,43.8083389717062,1200,0.46710820218554,59110.9090909091
"247",-1,59024,39.4261801893574,0,0.820258620689655,1,9600,37.362277735355,140,0.218182623708763,58789.0909090909
"248",-1,58834,38.5191559268029,0,0.720258620689655,1,9460,36.8312263004287,-1900,0.000958234041958939,58439.2727272727
"249",1,58604,39.6215718053051,0.0416666666666667,0.624425287356321,0.958333333333333,9560,37.38596951415,-2300,-0.156089576328555,58142.1818181818
"250",1,58454,47.9221140188035,0.375,0.561925287356321,0.625,10560,39.9486647370433,-1500,-0.1678732779541,58032.3636363636
"251",1,58394,55.5590328431944,0.75,0.536925287356321,0.25,11560,44.4417798513157,-600,-0.0518378748694315,58113.4545454545
"252",-1,58160,42.2497838796313,0.025,0.439425287356321,0.975,9820,36.7968673305773,-2340,-0.198855611433579,57889.0909090909
"253",-1,57910,41.2404145162688,0,0.339425287356321,1,9660,36.745406824147,-2500,-0.334156952594267,57678.1818181818
"254",-1,57704,40.8339378233762,0,0.256666666666666,1,9600,36.3753058246568,-2060,-0.445018007481124,57501.8181818182
"255",-1,57514,38.4479357765335,0,0.198333333333333,1,9220,35.9393133949132,-1900,-0.574196953663453,57301.0909090909
"256",1,57308,42.2005242368132,0.147826086956522,0.133949275362318,0.852173913043478,9560,36.8492075715239,-2060,-0.622183256512232,57196.7272727273
"257",-1,57276,42.0330347189873,0.139130434782609,0.147862318840579,0.860869565217391,9480,37.1342422941908,-320,-0.655661710067945,57126.1818181818
"258",-1,57254,41.66555410415,0.121739130434783,0.160036231884058,0.878260869565217,9440,35.4137679719075,-220,-0.680146352624666,57054.1818181818
"259",-1,57220,41.4641612450714,0.11304347826087,0.167173913043478,0.88695652173913,9420,38.7021283675122,-340,-0.694510488397448,56982.5454545455
"260",1,57120,43.5850441369565,0.173913043478261,0.147065217391304,0.826086956521739,10300,34.6614091676477,-1000,-0.678461003292896,56942.5454545455
"261",-1,56810,32.4035826160762,0,0.0720652173913039,1,9100,25.8281179452193,-3100,-0.8257949359192,56702.5454545455
"262",1,56744,42.0409159690171,0.583333333333333,0.127898550724637,0.416666666666667,9800,19.2069625239146,-660,-0.834460150250294,56646.1818181818
"263",-1,56654,38.5511965764764,0.25,0.152898550724637,0.75,9400,-103.445805573466,-900,-0.888009357499708,56529.0909090909
"264",1,56580,39.9361307819726,0.333333333333333,0.186231884057971,0.666666666666667,9500,-106.494152774324,-740,-0.906116514051725,56446.5454545455
"265",1,56580,45.4048686670308,0.666666666666667,0.252898550724637,0.333333333333333,9920,-69.9518549985864,0,-0.853905500559682,56450.1818181818
"266",-1,56540,44.7261588138287,0.616666666666667,0.299782608695652,0.383333333333333,9860,-62.6511444800667,-400,-0.811736358746462,56442.9090909091
"267",1,56506,45.3314791785222,0.65,0.350869565217391,0.35,10440,-72.1661054994432,-340,-0.763853617086063,56450.1818181818
"268",-1,56430,39.7667833222493,0.266666666666667,0.365362318840579,0.733333333333333,9960,-81.5236837035251,-760,-0.782443050858483,56380
"269",-1,56354,39.532347592586,0.25,0.379057971014492,0.75,9560,-86.8845676458472,-760,-0.791077881231528,56320
"270",1,56272,41.0762200512615,0.475,0.409166666666666,0.525,9720,-91.3525498891386,-820,-0.777668055060221,56288.3636363636
"271",1,56314,41.9003380744617,0.24,0.433166666666666,0.76,9760,-61.4714424007788,420,-0.75272859975789,56278.9090909091
"272",-1,56284,41.5772786845799,0.2,0.394833333333333,0.8,9740,-77.2231938651996,-300,-0.727493065605889,56258.1818181818
"273",-1,56274,38.2964688131459,0,0.369833333333333,1,9440,-99.6291959406766,-100,-0.727783258337167,56206.5454545455
"274",1,56320,52.1430226356229,1,0.4365,0,10100,30.6122448979519,460,-0.626387887277757,56276.7272727273
"275",1,56332,53.203758990758,1,0.469833333333333,0,10420,64.0920295809314,120,-0.53132234049037,56349.4545454545
